Data from QEP013861_11-01-13-364.txt Node
Date: Tue May 21 11:01:13 EDT 2019
User: Andrew
Spectrometer: QEP01386
Trigger mode: 4
Integration Time (sec): 1.550000E-1
Scans to average: 1
Electric dark correction enabled: false
Nonlinearity correction enabled: false
Boxcar width: 0
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 1044
>>>>>Begin Spectral Data<<<<<
629.243	1696
629.421	1685
629.599	1685
629.777	1684
629.955	1683
630.132	1683
630.31	1682
630.488	1684
630.666	1685
630.843	1685
631.021	1690
631.199	1684
631.376	1685
631.554	1684
631.731	1684
631.909	1687
632.086	1679
632.264	1683
632.441	1682
632.618	1686
632.796	1686
632.973	1688
633.15	1691
633.327	1688
633.504	1685
633.682	1688
633.859	1686
634.036	1685
634.213	1689
634.39	1684
634.567	1684
634.744	1683
634.921	1688
635.098	1691
635.274	1685
635.451	1685
635.628	1687
635.805	1686
635.982	1685
636.158	1684
636.335	1685
636.511	1685
636.688	1686
636.865	1689
637.041	1683
637.218	1689
637.394	1687
637.571	1684
637.747	1683
637.923	1688
638.1	1685
638.276	1684
638.452	1685
638.628	1686
638.805	1684
638.981	1684
639.157	1687
639.333	1685
639.509	1687
639.685	1684
639.861	1683
640.037	1682
640.213	1685
640.389	1684
640.565	1683
640.74	1687
640.916	1686
641.092	1686
641.268	1681
641.443	1685
641.619	1680
641.795	1688
641.97	1685
642.146	1687
642.321	1687
642.497	1688
642.672	1685
642.848	1684
643.023	1684
643.199	1682
643.374	1687
643.549	1682
643.724	1691
643.9	1685
644.075	1684
644.25	1686
644.425	1686
644.6	1684
644.775	1683
644.95	1688
645.125	1687
645.3	1685
645.475	1684
645.65	1687
645.825	1686
646	1685
646.175	1688
646.349	1684
646.524	1683
646.699	1686
646.874	1684
647.048	1688
647.223	1685
647.397	1691
647.572	1683
647.746	1688
647.921	1684
648.095	1688
648.27	1685
648.444	1685
648.618	1683
648.793	1687
648.967	1685
649.141	1686
649.315	1686
649.49	1685
649.664	1686
649.838	1684
650.012	1688
650.186	1684
650.36	1685
650.534	1687
650.708	1683
650.882	1688
651.056	1687
651.23	1685
651.403	1686
651.577	1685
651.751	1684
651.925	1688
652.098	1684
652.272	1691
652.446	1683
652.619	1689
652.793	1681
652.966	1688
653.14	1687
653.313	1684
653.487	1683
653.66	1685
653.833	1687
654.007	1685
654.18	1685
654.353	1686
654.526	1686
654.7	1683
654.873	1685
655.046	1684
655.219	1682
655.392	1690
655.565	1685
655.738	1685
655.911	1685
656.084	1688
656.257	1687
656.43	1687
656.602	1686
656.775	1688
656.948	1683
657.121	1689
657.293	1684
657.466	1684
657.639	1685
657.811	1685
657.984	1688
658.156	1688
658.329	1687
658.501	1688
658.674	1685
658.846	1685
659.018	1687
659.191	1683
659.363	1685
659.535	1688
659.707	1679
659.88	1682
660.052	1688
660.224	1685
660.396	1690
660.568	1688
660.74	1684
660.912	1686
661.084	1686
661.256	1689
661.428	1685
661.6	1685
661.771	1685
661.943	1687
662.115	1686
662.287	1684
662.458	1684
662.63	1688
662.802	1686
662.973	1686
663.145	1688
663.316	1680
663.488	1687
663.659	1684
663.831	1684
664.002	1683
664.174	1685
664.345	1687
664.516	1686
664.687	1685
664.859	1680
665.03	1687
665.201	1687
665.372	1684
665.543	1685
665.714	1688
665.885	1682
666.056	1684
666.227	1685
666.398	1686
666.569	1684
666.74	1687
666.911	1691
667.082	1681
667.252	1683
667.423	1685
667.594	1686
667.764	1686
667.935	1684
668.106	1684
668.276	1687
668.447	1683
668.617	1688
668.788	1687
668.958	1688
669.129	1686
669.299	1683
669.469	1684
669.64	1687
669.81	1688
669.98	1685
670.15	1688
670.321	1687
670.491	1685
670.661	1687
670.831	1687
671.001	1687
671.171	1687
671.341	1685
671.511	1685
671.681	1687
671.851	1683
672.02	1687
672.19	1683
672.36	1687
672.53	1686
672.699	1688
672.869	1684
673.039	1683
673.208	1686
673.378	1687
673.547	1685
673.717	1686
673.886	1688
674.056	1687
674.225	1684
674.395	1683
674.564	1686
674.733	1683
674.903	1687
675.072	1683
675.241	1687
675.41	1686
675.579	1683
675.748	1688
675.917	1687
676.087	1684
676.256	1690
676.425	1685
676.593	1687
676.762	1686
676.931	1687
677.1	1684
677.269	1685
677.438	1687
677.606	1685
677.775	1682
677.944	1687
678.112	1685
678.281	1685
678.45	1686
678.618	1687
678.787	1685
678.955	1687
679.124	1683
679.292	1683
679.46	1685
679.629	1685
679.797	1687
679.965	1685
680.134	1687
680.302	1684
680.47	1683
680.638	1686
680.806	1686
680.974	1681
681.142	1684
681.31	1687
681.478	1684
681.646	1685
681.814	1684
681.982	1683
682.15	1686
682.318	1686
682.486	1687
682.653	1685
682.821	1684
682.989	1683
683.156	1685
683.324	1684
683.492	1685
683.659	1686
683.827	1689
683.994	1685
684.162	1687
684.329	1685
684.496	1687
684.664	1680
684.831	1685
684.998	1683
685.166	1684
685.333	1687
685.5	1683
685.667	1684
685.834	1682
686.001	1687
686.168	1684
686.335	1683
686.502	1686
686.669	1679
686.836	1685
687.003	1686
687.17	1690
687.337	1688
687.504	1684
687.67	1687
687.837	1683
688.004	1687
688.17	1684
688.337	1685
688.504	1684
688.67	1686
688.837	1685
689.003	1689
689.17	1683
689.336	1682
689.502	1682
689.669	1686
689.835	1684
690.001	1683
690.168	1682
690.334	1685
690.5	1687
690.666	1683
690.832	1678
690.998	1687
691.164	1687
691.33	1683
691.496	1687
691.662	1686
691.828	1685
691.994	1684
692.16	1686
692.326	1685
692.492	1689
692.657	1684
692.823	1687
692.989	1685
