DOY,GEE
37231,-1.526925
37232,-1.700774
37233,-1.065682
37234,-1.005273
37235,-1.263054
37236,-1.049426
37237,-0.8817187
37238,-1.274274
37239,-0.9182723
37240,-0.8582824
37241,-0.9988996
37242,-1.509657
37243,-1.35472
37244,-1.715449
37245,-1.86351
37246,-0.8904172
37247,-0.8034681
37248,-1.238675
37249,-1.097015
37250,-0.8899224
37251,-2.732049
37252,-2.35113
37253,-2.000081
37254,-2.425629
37255,-2.130036
37256,-1.686262
37257,-1.75057
37258,-1.295484
37259,-1.731806
37260,-1.622729
37261,-1.915724
37262,-1.580795
37263,-1.538532
37264,-1.501699
37265,-1.501695
37266,-1.419612
37267,-1.745032
37268,-1.466739
37269,-1.072337
37270,-1.342244
37271,-1.460553
37272,-1.59312
37273,-1.630891
37274,-1.694425
37275,-1.374269
37276,-1.395724
37277,-1.53394
37278,-1.141041
37279,-1.307319
37280,-1.239685
37281,-1.25446
37282,-1.305195
37283,-1.597409
37284,-1.41788
37285,-1.75418
37286,-1.550668
37287,-1.613533
37288,-1.422022
37289,-1.681457
37290,-1.637685
37291,-1.640147
37292,-1.7885
37293,-1.454184
37294,-1.948598
37295,-2.2617
37296,-2.013646
37297,-1.734717
37298,-2.24332
37299,-1.676611
37300,-2.675233
37301,-1.765895
37302,-1.916334
37303,-1.90236
37304,-2.370246
37305,-3.0904
37306,-2.816923
37307,-2.77256
37308,-1.934727
37309,-1.7667
37310,-2.221868
37311,-2.21548
37312,-2.663228
37313,-1.87018
37314,-2.030748
37315,-2.224258
37316,-2.338427
37317,-2.7833
37318,-2.566264
37319,-2.174916
37320,-2.506369
37321,-3.215184
37322,-2.54814
37323,-2.795641
37324,-2.351272
37325,-2.344999
37326,-2.481405
37327,-2.52031
37328,-2.627762
37329,-2.820872
37330,-2.780495
37331,-3.46034
37332,-3.081195
37333,-3.591278
37334,-4.082981
37335,-4.186807
37336,-3.121088
37337,-5.140663
37338,-4.249611
37339,-4.389195
37340,-4.577532
37341,-5.422416
37342,-6.778713
37343,-5.795276
37344,-5.709409
37345,-6.75155
37346,-6.304556
37347,-6.558104
37348,-5.014065
37349,-2.963257
37350,-4.092877
37351,-5.90721
37352,-5.511368
37353,-5.849902
37354,-3.312117
37355,-5.124058
37356,-6.089782
37357,-5.668233
37358,-6.376184
37359,-7.878313
37360,-4.277494
37361,-3.629676
37362,-3.379863
37363,-3.358141
37364,-3.384626
37365,-4.507653
37366,-4.360023
37367,-5.255238
37368,-4.577627
37369,-5.001124
37370,-4.91523
37371,-3.031343
37372,-3.8576
37373,-4.297645
37374,-2.467617
37375,-4.295935
37376,-4.275251
37377,-4.281844
37378,-3.785602
37379,-3.651455
37380,-2.849037
37381,-3.431132
37382,-3.229959
37383,-2.812518
37384,-3.108273
37385,-2.965421
37386,-2.381069
37387,-2.792036
37388,-2.534642
37389,-2.466581
37390,-2.308059
37391,-2.973883
37392,-2.891355
37393,-3.044366
37394,-2.484088
37395,-2.419787
37396,-0.9689626
37397,-1.513958
37398,-1.69464
37399,-2.379187
37400,-2.664019
37401,-2.388361
37402,-2.425018
37403,-2.633712
37404,-2.704523
37405,-2.899493
37406,-1.372635
37407,-1.328414
37408,-0.9632949
37409,-1.263521
37410,-1.032433
37411,-0.8232604
37412,-1.031068
37413,-0.9799556
37414,-1.009416
37415,-0.807563
37416,-1.02929
37417,-1.211552
37418,-0.9871988
37419,-1.137083
37420,-1.039642
37421,-0.2775894
37422,-0.6047218
37423,-0.8678496
